Timestamp,Dado
2025-10-11 09:07:05.076,17.52
2025-10-11 09:07:05.103,17.63
2025-10-11 09:07:05.123,17.40
2025-10-11 09:07:05.143,17.29
2025-10-11 09:07:05.159,17.52
2025-10-11 09:07:05.185,17.63
2025-10-11 09:07:05.206,16.74
2025-10-11 09:07:05.226,16.74
2025-10-11 09:07:05.243,17.52
2025-10-11 09:07:05.259,17.52
2025-10-11 09:07:05.288,18.49
2025-10-11 09:07:05.308,17.52
2025-10-11 09:07:05.326,17.52
2025-10-11 09:07:05.343,17.63
2025-10-11 09:07:05.369,17.63
2025-10-11 09:07:05.389,17.52
2025-10-11 09:07:05.409,17.52
2025-10-11 09:07:05.420,17.52
2025-10-11 09:07:05.438,17.63
2025-10-11 09:07:05.471,17.52
2025-10-11 09:07:05.492,17.52
2025-10-11 09:07:05.509,17.63
2025-10-11 09:07:05.526,17.63
2025-10-11 09:07:05.553,17.52
2025-10-11 09:07:05.574,17.40
2025-10-11 09:07:05.593,17.52
2025-10-11 09:07:05.615,17.63
2025-10-11 09:07:05.635,17.52
2025-10-11 09:07:05.656,17.40
2025-10-11 09:07:05.676,17.63
2025-10-11 09:07:05.692,17.63
2025-10-11 09:07:05.709,17.52
2025-10-11 09:07:05.738,17.40
2025-10-11 09:07:05.758,17.52
2025-10-11 09:07:05.776,17.63
2025-10-11 09:07:05.793,17.52
2025-10-11 09:07:05.820,17.29
2025-10-11 09:07:05.840,17.52
2025-10-11 09:07:05.859,17.63
2025-10-11 09:07:05.870,17.40
2025-10-11 09:07:05.902,17.29
2025-10-11 09:07:05.923,17.52
2025-10-11 09:07:05.942,17.63
2025-10-11 09:07:05.953,16.74
2025-10-11 09:07:05.970,16.96
2025-10-11 09:07:06.005,17.52
2025-10-11 09:07:06.024,17.63
2025-10-11 09:07:06.042,18.49
2025-10-11 09:07:06.060,17.52
2025-10-11 09:07:06.086,17.52
2025-10-11 09:07:06.106,17.63
2025-10-11 09:07:06.126,17.63
2025-10-11 09:07:06.136,17.52
2025-10-11 09:07:06.168,17.63
2025-10-11 09:07:06.189,17.63
2025-10-11 09:07:06.209,17.52
2025-10-11 09:07:06.220,17.52
2025-10-11 09:07:06.236,17.52
2025-10-11 09:07:06.270,17.63
2025-10-11 09:07:06.321,17.52
2025-10-11 09:07:06.323,17.52
2025-10-11 09:07:06.328,17.52
2025-10-11 09:07:06.353,17.63
2025-10-11 09:07:06.373,17.52
2025-10-11 09:07:06.392,17.40
2025-10-11 09:07:06.402,17.52
2025-10-11 09:07:06.435,17.63
2025-10-11 09:07:06.454,17.52
2025-10-11 09:07:06.475,17.40
2025-10-11 09:07:06.486,17.52
2025-10-11 09:07:06.502,17.63
2025-10-11 09:07:06.536,17.40
2025-10-11 09:07:06.557,17.40
2025-10-11 09:07:06.575,17.52
2025-10-11 09:07:06.591,17.63
2025-10-11 09:07:06.618,17.40
2025-10-11 09:07:06.639,17.29
2025-10-11 09:07:06.659,17.52
2025-10-11 09:07:06.676,17.63
2025-10-11 09:07:06.697,16.74
2025-10-11 09:07:06.720,16.85
2025-10-11 09:07:06.741,17.52
2025-10-11 09:07:06.758,17.63
2025-10-11 09:07:06.775,18.49
2025-10-11 09:07:06.803,17.52
2025-10-11 09:07:06.823,17.52
2025-10-11 09:07:06.843,17.52
2025-10-11 09:07:06.864,17.63
2025-10-11 09:07:06.885,17.52
2025-10-11 09:07:06.905,17.52
2025-10-11 09:07:06.926,17.63
2025-10-11 09:07:06.946,17.63
2025-10-11 09:07:06.966,17.40
2025-10-11 09:07:06.987,17.52
2025-10-11 09:07:07.008,17.63
2025-10-11 09:07:07.028,17.52
2025-10-11 09:07:07.048,17.52
2025-10-11 09:07:07.069,17.63
2025-10-11 09:07:07.090,17.63
2025-10-11 09:07:07.110,17.52
2025-10-11 09:07:07.131,17.52
2025-10-11 09:07:07.151,17.52
2025-10-11 09:07:07.171,17.63
2025-10-11 09:07:07.192,17.52
2025-10-11 09:07:07.212,17.40
2025-10-11 09:07:07.233,17.52
2025-10-11 09:07:07.253,17.63
2025-10-11 09:07:07.273,17.52
2025-10-11 09:07:07.294,17.40
2025-10-11 09:07:07.315,17.52
2025-10-11 09:07:07.335,17.63
2025-10-11 09:07:07.356,17.40
2025-10-11 09:07:07.376,17.29
2025-10-11 09:07:07.397,17.52
2025-10-11 09:07:07.417,17.63
2025-10-11 09:07:07.438,16.74
2025-10-11 09:07:07.458,16.74
2025-10-11 09:07:07.479,17.40
2025-10-11 09:07:07.498,17.63
2025-10-11 09:07:07.520,18.49
